transaction_id,account_id,customer_id,bank_name,transaction_date,transaction_type,category,amount,account_balance,channel,status,reference_number
TXN000019,ACC010000035,CUST00036,ICICI Bank,2024-03-02,Debit,Investment,57619.86,259928.42,Branch,Success,REF-AF27E52D
TXN000020,ACC010000028,CUST00029,Kotak Bank,2023-11-01,Transfer,Fuel,81722.82,185079.13,UPI,Success,REF-FD4EBA49
TXN000021,ACC010000039,CUST00040,HDFC Bank,2023-04-12,Debit,EMI,90023.69,1075188.63,POS Terminal,Success,REF-A259D3DB
TXN000022,ACC010000010,CUST00011,Axis Bank,2023-09-03,Credit,Travel,16553.6,75549.15,Branch,Failed,REF-37A73870
TXN000023,ACC010000038,CUST00039,HDFC Bank,2024-04-26,NEFT,EMI,27705.07,578054.61,POS Terminal,Success,REF-61F80BBB
TXN000024,ACC010000004,CUST00005,SBI,2024-12-04,IMPS,Fuel,22213.59,373413.94,POS Terminal,Success,REF-5AED5DDF
TXN000025,ACC010000027,CUST00028,SBI,2023-04-28,Transfer,Food & Dining,51756.2,1132926.74,Mobile App,Success,REF-36D6E7E1
TXN000026,ACC010000010,CUST00011,Axis Bank,2023-11-11,Transfer,Healthcare,56549.43,105516.17,Mobile App,Success,REF-C8B6AE87
TXN000027,ACC010000044,CUST00045,Axis Bank,2023-11-08,UPI Payment,Investment,66489.71,26944.15,Branch,Success,REF-C5F64278
TXN000028,ACC010000005,CUST00006,Axis Bank,2024-09-04,Transfer,Fuel,3834.78,900759.22,ATM,Success,REF-B57FE484
TXN000029,ACC010000005,CUST00006,Axis Bank,2023-08-23,UPI Payment,Fuel,91383.46,916916.41,Mobile App,Failed,REF-9D9D0F51
TXN000030,ACC010000017,CUST00018,SBI,2024-08-13,ATM Withdrawal,Investment,3870.0,203758.21,POS Terminal,Success,REF-AD66B814
TXN000031,ACC010000017,CUST00018,SBI,2023-07-05,IMPS,Healthcare,94709.97,190942.86,Mobile App,Success,REF-BF38E376
TXN000032,ACC010000022,CUST00023,Axis Bank,2024-02-23,IMPS,Food & Dining,31697.63,793307.04,ATM,Success,REF-93FA593D
TXN000033,ACC010000044,CUST00045,Axis Bank,2024-05-22,IMPS,Investment,27416.28,27044.84,Mobile App,Success,REF-B1B0C676
TXN000034,ACC010000005,CUST00006,Axis Bank,2023-11-19,IMPS,Travel,24015.27,888114.93,UPI,Success,REF-52ACC21E
TXN000035,ACC010000042,CUST00043,SBI,2024-07-09,UPI Payment,Entertainment,43914.65,493341.21,UPI,Success,REF-EE97A953
TXN000036,ACC010000040,CUST00041,Kotak Bank,2024-03-28,UPI Payment,Food & Dining,72211.1,1004236.27,ATM,Success,REF-B141A481
TXN000037,ACC010000044,CUST00045,Axis Bank,2024-05-11,UPI Payment,Utilities,11579.41,28162.97,POS Terminal,Success,REF-1D9A2E53
TXN000038,ACC010000019,CUST00020,ICICI Bank,2024-07-18,Debit,Shopping,1348.39,842049.84,Branch,Success,REF-CFE4988B
TXN000039,ACC010000041,CUST00042,Axis Bank,2023-06-07,UPI Payment,EMI,47370.75,123960.8,Branch,Success,REF-4197C16D
TXN000040,ACC010000030,CUST00031,Kotak Bank,2023-09-07,Debit,Fuel,43421.88,118693.67,UPI,Failed,REF-CAD7E5EF
TXN000041,ACC010000008,CUST00009,ICICI Bank,2023-03-13,ATM Withdrawal,Entertainment,26279.69,1209753.31,UPI,Success,REF-B2E625BF
TXN000042,ACC010000000,CUST00001,ICICI Bank,2023-10-17,UPI Payment,Healthcare,68988.54,303728.75,Net Banking,Success,REF-525B4EB7
TXN000043,ACC010000034,CUST00035,SBI,2024-05-10,UPI Payment,Travel,32819.52,864623.26,Branch,Success,REF-4AA95FC7
TXN000044,ACC010000012,CUST00013,Axis Bank,2024-12-15,IMPS,Travel,22724.59,317233.33,Mobile App,Success,REF-D351E20E
TXN000045,ACC010000047,CUST00048,HDFC Bank,2024-04-29,ATM Withdrawal,Food & Dining,67011.39,330492.9,Branch,Success,REF-43111A57
TXN000046,ACC010000008,CUST00009,ICICI Bank,2024-05-29,Credit,Healthcare,91710.32,1191432.85,Mobile App,Pending,REF-0EC3B7B6
TXN000047,ACC010000029,CUST00030,Axis Bank,2023-01-16,NEFT,Food & Dining,68646.04,139336.4,Mobile App,Success,REF-7AE059A6
TXN000048,ACC010000016,CUST00017,SBI,2023-12-13,Credit,Entertainment,59228.48,442484.2,POS Terminal,Pending,REF-C0CEAE0A
TXN000049,ACC010000024,CUST00025,SBI,2023-11-21,ATM Withdrawal,Investment,59564.58,996936.99,Mobile App,Pending,REF-D14A2067
TXN000050,ACC010000004,CUST00005,SBI,2023-08-29,Debit,Shopping,59978.74,399668.91,Branch,Success,REF-D580F754
TXN000051,ACC010000048,CUST00049,Axis Bank,2024-10-10,Debit,EMI,66884.43,874791.23,Mobile App,Success,REF-F530108A
TXN000052,ACC010000020,CUST00021,HDFC Bank,2023-02-27,Debit,Utilities,27905.27,730948.57,UPI,Success,REF-D001992D
TXN000053,ACC010000036,CUST00037,Kotak Bank,2024-11-29,Credit,Fuel,75299.72,749713.71,Branch,Pending,REF-6D8C1FFC
TXN000054,ACC010000043,CUST00044,SBI,2023-09-04,Debit,Healthcare,47303.51,338959.16,POS Terminal,Success,REF-D6573D82
TXN000055,ACC010000029,CUST00030,Axis Bank,2023-09-19,ATM Withdrawal,EMI,63366.53,158893.6,POS Terminal,Pending,REF-277C9DC7
TXN000056,ACC010000010,CUST00011,Axis Bank,2023-03-17,UPI Payment,EMI,41992.24,86369.18,POS Terminal,Success,REF-94127A46
TXN000057,ACC010000044,CUST00045,Axis Bank,2023-09-14,ATM Withdrawal,Healthcare,43426.56,1321.97,Mobile App,Success,REF-395B9CE3
TXN000058,ACC010000024,CUST00025,SBI,2024-08-08,NEFT,EMI,34133.17,973274.34,Mobile App,Failed,REF-5E04C123
TXN000059,ACC010000025,CUST00026,HDFC Bank,2023-10-09,IMPS,Salary,818.9,377360.31,UPI,Failed,REF-333AEB35
TXN000060,ACC010000031,CUST00032,SBI,2023-10-21,IMPS,Entertainment,73706.61,655306.99,Net Banking,Failed,REF-1C0A4EBE
TXN000061,ACC010000012,CUST00013,Axis Bank,2024-09-27,IMPS,Food & Dining,23847.01,332137.59,POS Terminal,Success,REF-542FEC79
TXN000062,ACC010000040,CUST00041,Kotak Bank,2024-10-23,Credit,Fuel,3793.17,1027638.36,ATM,Failed,REF-56BFE119
TXN000063,ACC010000008,CUST00009,ICICI Bank,2023-04-03,ATM Withdrawal,Food & Dining,86419.16,1191221.83,Net Banking,Success,REF-159EB92E
TXN000064,ACC010000034,CUST00035,SBI,2024-01-10,IMPS,Food & Dining,50454.43,879086.04,ATM,Success,REF-FB39C8CF
TXN000065,ACC010000018,CUST00019,ICICI Bank,2023-12-13,Credit,Food & Dining,76411.88,1000058.48,Net Banking,Failed,REF-305A8791
TXN000066,ACC010000046,CUST00047,Kotak Bank,2024-11-21,IMPS,Investment,93095.52,785041.28,ATM,Success,REF-40CC9C13
TXN000067,ACC010000025,CUST00026,HDFC Bank,2023-01-15,Transfer,EMI,25160.34,347701.16,UPI,Success,REF-ED7D8665
TXN000068,ACC010000040,CUST00041,Kotak Bank,2024-01-16,Credit,Fuel,10337.46,1005446.82,UPI,Success,REF-E598C113
TXN000069,ACC010000039,CUST00040,HDFC Bank,2023-08-15,ATM Withdrawal,EMI,61544.59,1092293.27,POS Terminal,Success,REF-46102848
TXN000070,ACC010000007,CUST00008,SBI,2023-05-24,ATM Withdrawal,Shopping,4355.68,534139.69,Mobile App,Success,REF-3CAB1D56
TXN000071,ACC010000034,CUST00035,SBI,2023-05-19,NEFT,Investment,36951.92,857387.02,Branch,Pending,REF-3049E169
TXN000072,ACC010000047,CUST00048,HDFC Bank,2023-06-08,IMPS,Healthcare,84120.04,324233.42,UPI,Success,REF-8B02D0CC
TXN000073,ACC010000017,CUST00018,SBI,2023-02-03,ATM Withdrawal,Utilities,65592.15,182198.25,ATM,Success,REF-5AB674A7
TXN000074,ACC010000043,CUST00044,SBI,2024-01-12,Transfer,Salary,51747.03,354746.57,Branch,Success,REF-A090A85C
TXN000075,ACC010000012,CUST00013,Axis Bank,2023-05-06,Credit,Utilities,90158.57,334882.14,POS Terminal,Failed,REF-93880D11
TXN000076,ACC010000038,CUST00039,HDFC Bank,2023-01-22,Debit,Fuel,4852.43,582135.93,Net Banking,Success,REF-00E68FBB
TXN000077,ACC010000048,CUST00049,Axis Bank,2024-07-21,IMPS,Utilities,19719.59,879408.99,ATM,Success,REF-341D46CF
TXN000078,ACC010000038,CUST00039,HDFC Bank,2023-01-03,Debit,Investment,26377.25,608156.69,ATM,Success,REF-30CC43C4
TXN000079,ACC010000007,CUST00008,SBI,2024-11-07,Transfer,Utilities,82319.23,537923.33,UPI,Success,REF-FE58CD05
TXN000080,ACC010000001,CUST00002,Axis Bank,2023-06-28,ATM Withdrawal,Investment,25246.64,463034.43,Mobile App,Failed,REF-CF6659C3
TXN000081,ACC010000004,CUST00005,SBI,2024-05-02,UPI Payment,Shopping,42613.73,377313.31,Branch,Pending,REF-F331D3EB
TXN000082,ACC010000014,CUST00015,ICICI Bank,2024-09-21,IMPS,Investment,4167.51,1068961.77,ATM,Success,REF-15A4F212
TXN000083,ACC010000041,CUST00042,Axis Bank,2023-02-01,ATM Withdrawal,Travel,5825.37,114455.95,POS Terminal,Success,REF-F6AFB1CD
TXN000084,ACC010000031,CUST00032,SBI,2024-12-30,Credit,Entertainment,86426.09,649041.88,UPI,Success,REF-E3ED00F5
TXN000085,ACC010000004,CUST00005,SBI,2023-05-10,UPI Payment,Entertainment,26162.77,388154.82,Branch,Pending,REF-060C25BD
TXN000086,ACC010000033,CUST00034,HDFC Bank,2023-10-29,Credit,Shopping,43130.28,731988.71,POS Terminal,Failed,REF-D47B5597
TXN000087,ACC010000049,CUST00050,Kotak Bank,2024-07-18,ATM Withdrawal,Utilities,68493.75,652859.02,Branch,Success,REF-95B64F23
TXN000088,ACC010000029,CUST00030,Axis Bank,2024-02-13,ATM Withdrawal,Entertainment,39548.22,126740.69,POS Terminal,Success,REF-80919744
TXN000089,ACC010000023,CUST00024,SBI,2023-06-06,Credit,Shopping,65263.66,13319.33,Mobile App,Success,REF-5FC3BC95
TXN000090,ACC010000006,CUST00007,ICICI Bank,2024-01-17,UPI Payment,Investment,77127.49,93943.85,UPI,Success,REF-A02F6FEB
TXN000091,ACC010000042,CUST00043,SBI,2023-05-06,IMPS,Travel,39056.28,526117.34,POS Terminal,Success,REF-F3489104
TXN000092,ACC010000018,CUST00019,ICICI Bank,2024-09-06,UPI Payment,Utilities,29717.02,985469.24,Net Banking,Failed,REF-7E012694
TXN000093,ACC010000030,CUST00031,Kotak Bank,2023-08-18,UPI Payment,Entertainment,80498.75,126912.55,Mobile App,Success,REF-C181A262
TXN000094,ACC010000036,CUST00037,Kotak Bank,2023-08-20,IMPS,Fuel,76695.67,776720.57,UPI,Failed,REF-0035BD81
TXN000095,ACC010000041,CUST00042,Axis Bank,2024-07-24,IMPS,EMI,2542.8,132460.04,Mobile App,Success,REF-BE11D484
TXN000096,ACC010000017,CUST00018,SBI,2024-12-20,Transfer,Salary,72440.78,210368.96,Net Banking,Success,REF-2834756E
TXN000097,ACC010000036,CUST00037,Kotak Bank,2024-11-04,NEFT,Salary,38104.47,748589.35,Mobile App,Failed,REF-A5A09CEA
TXN000098,ACC010000033,CUST00034,HDFC Bank,2023-08-09,Debit,Entertainment,35769.66,725917.47,ATM,Failed,REF-662C7248
TXN000099,ACC010000020,CUST00021,HDFC Bank,2024-08-04,Debit,Food & Dining,56661.45,751288.62,UPI,Success,REF-C77C7448
TXN000100,ACC010000043,CUST00044,SBI,2023-03-25,ATM Withdrawal,Fuel,25886.16,342110.42,Branch,Success,REF-69ED3B48
TXN000101,ACC010000017,CUST00018,SBI,2023-08-09,ATM Withdrawal,Shopping,71731.85,178060.16,ATM,Failed,REF-E145612A
TXN000102,ACC010000043,CUST00044,SBI,2024-08-30,Credit,Utilities,46255.78,342318.17,Branch,Pending,REF-75A1B273
TXN000103,ACC010000003,CUST00004,ICICI Bank,2023-01-08,IMPS,Food & Dining,19459.98,381309.47,ATM,Success,REF-C22133BD
TXN000104,ACC010000020,CUST00021,HDFC Bank,2023-05-03,Debit,Food & Dining,783.95,745835.49,Branch,Pending,REF-4396B207
TXN000105,ACC010000045,CUST00046,Kotak Bank,2023-08-24,IMPS,Entertainment,47549.91,939821.64,Mobile App,Success,REF-71ACDAEF
TXN000106,ACC010000047,CUST00048,HDFC Bank,2023-02-13,Credit,Entertainment,41469.05,316426.71,UPI,Success,REF-047D67E8
TXN000107,ACC010000036,CUST00037,Kotak Bank,2024-02-19,Credit,Travel,67416.93,759622.12,Mobile App,Success,REF-C5E6BD3E
TXN000108,ACC010000010,CUST00011,Axis Bank,2024-09-24,Transfer,Shopping,43736.2,100130.96,Branch,Success,REF-D73D574D
TXN000109,ACC010000015,CUST00016,Axis Bank,2024-03-22,ATM Withdrawal,EMI,55963.33,1056686.44,POS Terminal,Success,REF-427B37C6
TXN000110,ACC010000014,CUST00015,ICICI Bank,2023-12-08,NEFT,Shopping,74027.24,1040687.87,UPI,Pending,REF-43C31A26
TXN000111,ACC010000012,CUST00013,Axis Bank,2023-12-24,NEFT,Food & Dining,33386.92,340243.43,Net Banking,Success,REF-9461404A
TXN000112,ACC010000009,CUST00010,HDFC Bank,2023-09-20,IMPS,Shopping,18780.96,1199431.22,Net Banking,Failed,REF-CCA16027
TXN000113,ACC010000031,CUST00032,SBI,2024-04-20,ATM Withdrawal,Fuel,71684.63,676497.34,POS Terminal,Failed,REF-043BF5A9
TXN000114,ACC010000039,CUST00040,HDFC Bank,2023-11-27,Debit,Healthcare,82110.24,1091965.81,Mobile App,Success,REF-60347AC2
TXN000115,ACC010000028,CUST00029,Kotak Bank,2024-10-08,Credit,Entertainment,28802.8,156464.83,UPI,Success,REF-1F7028AD
TXN000116,ACC010000019,CUST00020,ICICI Bank,2024-04-17,IMPS,EMI,42959.22,828005.81,Mobile App,Failed,REF-4EFB093B
TXN000117,ACC010000005,CUST00006,Axis Bank,2024-09-21,UPI Payment,Investment,56457.88,898857.37,POS Terminal,Success,REF-986777E0
TXN000118,ACC010000028,CUST00029,Kotak Bank,2024-08-08,ATM Withdrawal,Investment,61941.97,158338.95,Net Banking,Success,REF-A6F4BBD6
TXN000119,ACC010000028,CUST00029,Kotak Bank,2023-04-16,NEFT,Shopping,77051.3,178972.97,UPI,Failed,REF-40CD7350
TXN000120,ACC010000011,CUST00012,HDFC Bank,2023-02-10,ATM Withdrawal,Investment,23573.27,257229.73,UPI,Pending,REF-1650D7F9
TXN000121,ACC010000010,CUST00011,Axis Bank,2024-01-08,ATM Withdrawal,Entertainment,35452.3,83862.3,POS Terminal,Pending,REF-D9444EAD
TXN000122,ACC010000003,CUST00004,ICICI Bank,2024-10-08,Credit,Investment,61511.64,346132.98,POS Terminal,Success,REF-4CED7A60
TXN000123,ACC010000018,CUST00019,ICICI Bank,2023-09-16,UPI Payment,Food & Dining,68768.51,1007587.78,ATM,Success,REF-9230CE01
TXN000124,ACC010000037,CUST00038,SBI,2024-11-10,NEFT,Travel,13478.62,314453.59,Net Banking,Pending,REF-8F4B2D7C
TXN000125,ACC010000045,CUST00046,Kotak Bank,2023-03-28,IMPS,Entertainment,29444.8,921554.64,Net Banking,Failed,REF-3883F27E
TXN000126,ACC010000044,CUST00045,Axis Bank,2024-12-02,NEFT,Travel,86686.94,-7024.78,UPI,Success,REF-F746C816
TXN000127,ACC010000001,CUST00002,Axis Bank,2024-01-07,Transfer,Healthcare,29376.83,496010.86,Net Banking,Success,REF-250BCDA0
TXN000128,ACC010000008,CUST00009,ICICI Bank,2023-06-08,Credit,Investment,7376.82,1211930.2,UPI,Failed,REF-6358C59D
TXN000129,ACC010000033,CUST00034,HDFC Bank,2023-02-08,UPI Payment,Food & Dining,62900.18,742827.35,UPI,Success,REF-21FFF181
TXN000130,ACC010000009,CUST00010,HDFC Bank,2023-06-16,UPI Payment,Food & Dining,17221.32,1203049.09,POS Terminal,Success,REF-7178AAD9
TXN000131,ACC010000002,CUST00003,HDFC Bank,2024-02-25,ATM Withdrawal,Fuel,34640.23,816453.25,ATM,Failed,REF-B6553A27
TXN000132,ACC010000028,CUST00029,Kotak Bank,2023-08-28,IMPS,Healthcare,50754.36,157856.6,Net Banking,Success,REF-3FF782CB
TXN000133,ACC010000043,CUST00044,SBI,2024-08-07,Transfer,Travel,93522.56,334100.07,UPI,Pending,REF-9CC926DB
TXN000134,ACC010000026,CUST00027,SBI,2023-06-15,Debit,EMI,77613.82,809799.88,Mobile App,Failed,REF-7B2D84CB
TXN000135,ACC010000030,CUST00031,Kotak Bank,2024-01-16,IMPS,Investment,52703.64,117011.58,Mobile App,Success,REF-EF3B3F1B
TXN000136,ACC010000005,CUST00006,Axis Bank,2023-06-14,Debit,Travel,25951.53,919690.32,Mobile App,Success,REF-7F8436E6
TXN000137,ACC010000028,CUST00029,Kotak Bank,2023-12-24,ATM Withdrawal,Investment,88398.31,162073.76,ATM,Success,REF-22C20111
TXN000138,ACC010000024,CUST00025,SBI,2023-03-25,Credit,Entertainment,35647.96,962566.94,Net Banking,Success,REF-79DC8F7C
TXN000139,ACC010000002,CUST00003,HDFC Bank,2023-10-21,IMPS,Food & Dining,87156.77,806568.02,POS Terminal,Success,REF-54124478
TXN000140,ACC010000028,CUST00029,Kotak Bank,2024-09-22,Transfer,Utilities,548.6,148646.91,Net Banking,Pending,REF-8B7EFD76
TXN000141,ACC010000046,CUST00047,Kotak Bank,2024-09-15,Transfer,Utilities,50161.9,750797.96,ATM,Success,REF-AC461A4A
TXN000142,ACC010000003,CUST00004,ICICI Bank,2023-09-02,ATM Withdrawal,Shopping,39912.44,375252.47,Mobile App,Success,REF-9BBF6B8F
TXN000143,ACC010000038,CUST00039,HDFC Bank,2024-07-02,Debit,Food & Dining,1610.54,589410.59,ATM,Success,REF-F8580192
TXN000144,ACC010000000,CUST00001,ICICI Bank,2024-09-21,Debit,Shopping,33549.88,293056.26,UPI,Success,REF-7919A527
TXN000145,ACC010000004,CUST00005,SBI,2024-06-22,UPI Payment,Investment,51710.58,394288.24,Mobile App,Success,REF-D7B1CD61
TXN000146,ACC010000030,CUST00031,Kotak Bank,2023-02-14,Transfer,Salary,60406.94,152149.57,ATM,Success,REF-A4CDC4C0
TXN000147,ACC010000022,CUST00023,Axis Bank,2023-09-04,IMPS,Fuel,69642.75,791631.98,POS Terminal,Success,REF-A226E967
TXN000148,ACC010000008,CUST00009,ICICI Bank,2023-02-15,NEFT,Food & Dining,33500.79,1191694.95,POS Terminal,Success,REF-B4FCD041
TXN000149,ACC010000044,CUST00045,Axis Bank,2024-05-05,Credit,Healthcare,60033.32,21697.01,Mobile App,Success,REF-8BCA84D0
TXN000150,ACC010000012,CUST00013,Axis Bank,2023-02-14,Transfer,EMI,75165.82,337346.12,UPI,Success,REF-3F9A670E
TXN000151,ACC010000034,CUST00035,SBI,2024-04-29,Debit,EMI,24102.14,872678.2,ATM,Success,REF-DF2FB74D
TXN000152,ACC010000041,CUST00042,Axis Bank,2023-12-06,ATM Withdrawal,Travel,25991.92,127270.37,POS Terminal,Success,REF-C3D23DAA
TXN000153,ACC010000024,CUST00025,SBI,2023-12-14,ATM Withdrawal,Entertainment,92505.05,981287.57,UPI,Success,REF-6ED5F31C
TXN000154,ACC010000005,CUST00006,Axis Bank,2024-03-10,IMPS,Food & Dining,7544.12,907576.2,UPI,Success,REF-CEBB33BE
TXN000155,ACC010000020,CUST00021,HDFC Bank,2023-04-16,Transfer,Healthcare,7652.54,742391.7,UPI,Failed,REF-0F2D9E55
TXN000156,ACC010000027,CUST00028,SBI,2023-06-20,Credit,Entertainment,65543.17,1121083.23,UPI,Success,REF-18525E82
TXN000157,ACC010000017,CUST00018,SBI,2024-10-16,Credit,Travel,93103.59,211423.64,ATM,Pending,REF-B8C17F04
TXN000158,ACC010000047,CUST00048,HDFC Bank,2024-11-26,IMPS,Fuel,15240.74,299282.16,POS Terminal,Success,REF-526BEBD0
TXN000159,ACC010000002,CUST00003,HDFC Bank,2023-05-10,Transfer,Entertainment,6433.81,818810.43,Branch,Pending,REF-26128205
TXN000160,ACC010000002,CUST00003,HDFC Bank,2024-09-11,Transfer,Entertainment,14618.95,805666.72,Branch,Success,REF-9677B038
TXN000161,ACC010000036,CUST00037,Kotak Bank,2023-05-21,NEFT,EMI,50322.22,758835.72,Net Banking,Success,REF-26B2FDF1
TXN000162,ACC010000001,CUST00002,Axis Bank,2023-07-10,UPI Payment,Shopping,47434.22,473443.59,ATM,Success,REF-92B82BC4
TXN000163,ACC010000045,CUST00046,Kotak Bank,2024-04-01,NEFT,Healthcare,20423.46,930962.56,Net Banking,Success,REF-ED4E257E
TXN000164,ACC010000008,CUST00009,ICICI Bank,2023-03-17,ATM Withdrawal,Shopping,42971.45,1214100.22,POS Terminal,Success,REF-DBAEF336
TXN000165,ACC010000042,CUST00043,SBI,2023-12-22,Transfer,EMI,67420.87,513172.94,Net Banking,Failed,REF-BFEA93A6
TXN000166,ACC010000045,CUST00046,Kotak Bank,2024-12-18,UPI Payment,Utilities,60599.62,938235.33,Mobile App,Success,REF-E81E8F17
TXN000167,ACC010000008,CUST00009,ICICI Bank,2023-08-31,UPI Payment,Fuel,75095.92,1179204.42,ATM,Success,REF-4E132270
TXN000168,ACC010000035,CUST00036,ICICI Bank,2023-05-13,Transfer,Travel,58154.5,231747.41,POS Terminal,Failed,REF-18ACB683
TXN000169,ACC010000030,CUST00031,Kotak Bank,2024-06-22,UPI Payment,Shopping,39055.0,129285.33,Net Banking,Success,REF-3554A3BB
TXN000170,ACC010000041,CUST00042,Axis Bank,2023-03-17,Transfer,Food & Dining,42775.08,122501.03,UPI,Failed,REF-20527EF1
TXN000171,ACC010000037,CUST00038,SBI,2023-07-06,UPI Payment,Salary,72950.87,305622.08,Mobile App,Pending,REF-E1893E6B
TXN000172,ACC010000009,CUST00010,HDFC Bank,2023-11-08,NEFT,Utilities,15684.19,1188241.69,ATM,Pending,REF-DEE9C04F
TXN000173,ACC010000018,CUST00019,ICICI Bank,2023-03-22,UPI Payment,EMI,23844.97,1006727.5,Net Banking,Failed,REF-AC691300
TXN000174,ACC010000019,CUST00020,ICICI Bank,2024-09-21,Debit,Fuel,50703.74,845833.14,UPI,Success,REF-1A91F004
TXN000175,ACC010000010,CUST00011,Axis Bank,2024-11-05,Transfer,Fuel,59344.3,108626.6,Mobile App,Success,REF-A7778712
TXN000176,ACC010000005,CUST00006,Axis Bank,2023-02-16,Transfer,Utilities,90114.52,914318.96,UPI,Success,REF-291A74BA
TXN000177,ACC010000039,CUST00040,HDFC Bank,2024-10-16,UPI Payment,EMI,2925.65,1102436.99,POS Terminal,Success,REF-CD7268E7
TXN000178,ACC010000030,CUST00031,Kotak Bank,2023-09-08,Transfer,Healthcare,76455.14,140307.62,Mobile App,Failed,REF-C6A99CF1
TXN000179,ACC010000003,CUST00004,ICICI Bank,2023-06-11,Debit,Entertainment,41790.54,362866.56,UPI,Success,REF-47336706
TXN000180,ACC010000020,CUST00021,HDFC Bank,2023-11-23,ATM Withdrawal,Food & Dining,69762.27,750386.02,ATM,Pending,REF-A3068647
TXN000181,ACC010000035,CUST00036,ICICI Bank,2023-04-19,Transfer,Healthcare,30350.05,246957.69,Net Banking,Success,REF-E6C8D23B
TXN000182,ACC010000006,CUST00007,ICICI Bank,2023-02-21,UPI Payment,Travel,27605.63,87055.01,Net Banking,Success,REF-D9B94128
TXN000183,ACC010000020,CUST00021,HDFC Bank,2024-08-14,Debit,Healthcare,68521.14,723548.29,UPI,Success,REF-FC0057D9
TXN000184,ACC010000031,CUST00032,SBI,2023-11-12,ATM Withdrawal,Investment,47275.31,649704.21,Branch,Success,REF-241836DF
TXN000185,ACC010000013,CUST00014,ICICI Bank,2024-08-20,ATM Withdrawal,Fuel,33557.39,1102266.58,POS Terminal,Failed,REF-73AA4674
TXN000186,ACC010000030,CUST00031,Kotak Bank,2023-10-20,ATM Withdrawal,Food & Dining,51008.79,146794.88,ATM,Failed,REF-C861A263
TXN000187,ACC010000023,CUST00024,SBI,2024-02-17,UPI Payment,Investment,34795.75,10371.87,Net Banking,Success,REF-A7ACDDC9
TXN000188,ACC010000035,CUST00036,ICICI Bank,2023-10-23,IMPS,Investment,7031.84,248469.01,ATM,Pending,REF-14408F81
TXN000189,ACC010000043,CUST00044,SBI,2024-09-17,ATM Withdrawal,Entertainment,11331.11,354636.18,ATM,Pending,REF-35518D45
TXN000190,ACC010000023,CUST00024,SBI,2023-05-28,UPI Payment,Salary,18950.55,14713.51,Mobile App,Success,REF-79BC4DD1
TXN000191,ACC010000008,CUST00009,ICICI Bank,2024-12-31,ATM Withdrawal,Food & Dining,31672.21,1197102.83,UPI,Pending,REF-5544CDBE
TXN000192,ACC010000008,CUST00009,ICICI Bank,2023-12-02,ATM Withdrawal,Fuel,88483.46,1190894.26,POS Terminal,Success,REF-B692D78D
