alert_id,customer_id,account_id,region,bank_name,alert_date,alert_type,risk_level,transaction_amount,status,is_confirmed_fraud,resolution_time_hours,detection_source
ALRT00087,CUST00041,ACC010000040,North,Kotak Bank,2023-10-03,Unusual Location,High,193969.22,Blocked,False,42,ML Model
ALRT00088,CUST00014,ACC010000013,South,ICICI Bank,2023-02-19,Account Takeover,High,159730.32,Resolved,False,12,Customer Report
ALRT00089,CUST00017,ACC010000016,Central,SBI,2023-07-02,Card Cloning,Critical,18293.07,Under Review,True,50,Customer Report
ALRT00090,CUST00019,ACC010000018,West,ICICI Bank,2024-10-24,Multiple Attempts,Low,60060.06,False Positive,False,17,Manual Review
ALRT00091,CUST00043,ACC010000042,Central,SBI,2023-04-09,Phishing,Medium,98179.8,False Positive,False,35,Customer Report
ALRT00092,CUST00006,ACC010000005,East,Axis Bank,2024-03-08,Phishing,Medium,87104.13,False Positive,True,6,Manual Review
ALRT00093,CUST00030,ACC010000029,East,Axis Bank,2024-11-23,Card Cloning,Medium,186168.19,Blocked,True,38,Customer Report
ALRT00094,CUST00028,ACC010000027,Central,SBI,2023-03-23,Device Mismatch,High,30147.0,Under Review,False,32,Customer Report
ALRT00095,CUST00019,ACC010000018,West,ICICI Bank,2024-08-05,Unusual Location,Low,183501.75,Blocked,True,66,Customer Report
ALRT00096,CUST00027,ACC010000026,North,SBI,2023-04-07,Device Mismatch,High,71413.8,Blocked,True,65,Rule Engine
ALRT00097,CUST00008,ACC010000007,South,SBI,2024-11-08,Device Mismatch,Medium,157342.33,False Positive,True,11,Customer Report
ALRT00098,CUST00046,ACC010000045,South,Kotak Bank,2023-11-01,Phishing,Critical,151592.18,False Positive,False,44,ML Model
ALRT00099,CUST00014,ACC010000013,South,ICICI Bank,2023-07-09,High Amount,High,174387.35,Resolved,False,69,Rule Engine
ALRT00100,CUST00001,ACC010000000,East,ICICI Bank,2024-02-09,High Amount,Low,34761.2,False Positive,False,52,Customer Report
ALRT00101,CUST00020,ACC010000019,West,ICICI Bank,2024-09-25,Phishing,Critical,161025.83,Resolved,True,18,Rule Engine
ALRT00102,CUST00013,ACC010000012,North,Axis Bank,2023-04-25,Unusual Location,Medium,171872.9,Under Review,False,19,ML Model
ALRT00103,CUST00028,ACC010000027,Central,SBI,2024-10-03,Card Cloning,Low,60533.11,False Positive,True,61,Customer Report
ALRT00104,CUST00002,ACC010000001,Central,Axis Bank,2023-04-30,Multiple Attempts,Medium,147886.85,False Positive,False,61,Rule Engine
ALRT00105,CUST00029,ACC010000028,East,Kotak Bank,2024-08-22,Card Cloning,Medium,59318.87,False Positive,True,43,Rule Engine
ALRT00106,CUST00007,ACC010000006,South,ICICI Bank,2024-10-07,Velocity Check,Critical,169798.94,Blocked,False,5,Customer Report
ALRT00107,CUST00026,ACC010000025,North,HDFC Bank,2024-05-12,Device Mismatch,Medium,143000.92,Blocked,True,55,Manual Review
ALRT00108,CUST00036,ACC010000035,North,ICICI Bank,2023-03-07,Account Takeover,Critical,177883.55,Resolved,False,45,Customer Report
ALRT00109,CUST00045,ACC010000044,South,Axis Bank,2024-03-22,Unusual Location,Medium,57958.15,Under Review,False,45,Customer Report
ALRT00110,CUST00015,ACC010000014,South,ICICI Bank,2024-06-03,Card Cloning,High,184386.25,False Positive,True,38,Customer Report
ALRT00111,CUST00027,ACC010000026,North,SBI,2024-11-20,Phishing,Critical,160051.13,Under Review,True,37,Rule Engine
ALRT00112,CUST00043,ACC010000042,Central,SBI,2024-05-09,Multiple Attempts,Medium,40297.1,Blocked,False,13,Customer Report
ALRT00113,CUST00032,ACC010000031,East,SBI,2023-11-07,Card Cloning,Medium,111587.69,Resolved,False,34,Manual Review
ALRT00114,CUST00044,ACC010000043,Central,SBI,2023-06-12,Multiple Attempts,Low,161459.7,Escalated,False,15,ML Model
ALRT00115,CUST00008,ACC010000007,South,SBI,2024-07-29,Card Cloning,Critical,51935.52,Escalated,False,6,Manual Review
ALRT00116,CUST00010,ACC010000009,West,HDFC Bank,2024-12-07,High Amount,Low,185363.1,False Positive,False,15,Rule Engine
ALRT00117,CUST00040,ACC010000039,Central,HDFC Bank,2024-09-16,High Amount,Low,101707.49,Under Review,True,27,Manual Review
ALRT00118,CUST00011,ACC010000010,North,Axis Bank,2023-10-27,Device Mismatch,Critical,146644.1,Resolved,True,47,Manual Review
ALRT00119,CUST00009,ACC010000008,Central,ICICI Bank,2023-05-06,Card Cloning,Critical,193942.52,Resolved,True,61,Manual Review
ALRT00120,CUST00019,ACC010000018,West,ICICI Bank,2024-06-01,Multiple Attempts,Low,53570.12,False Positive,False,32,ML Model
ALRT00121,CUST00049,ACC010000048,Central,Axis Bank,2024-06-26,Velocity Check,Medium,28029.87,False Positive,False,53,Customer Report
ALRT00122,CUST00034,ACC010000033,South,HDFC Bank,2024-11-29,Phishing,Low,88794.45,Resolved,True,11,Manual Review
ALRT00123,CUST00021,ACC010000020,Central,HDFC Bank,2024-02-16,Multiple Attempts,Critical,12762.93,Resolved,True,8,Manual Review
ALRT00124,CUST00027,ACC010000026,North,SBI,2024-02-16,Account Takeover,High,181891.56,Resolved,False,68,ML Model
ALRT00125,CUST00045,ACC010000044,South,Axis Bank,2024-02-18,Device Mismatch,Medium,177572.16,Blocked,False,45,Customer Report
ALRT00126,CUST00050,ACC010000049,Central,Kotak Bank,2023-07-22,Account Takeover,Low,7875.55,Escalated,False,17,Manual Review
ALRT00127,CUST00014,ACC010000013,South,ICICI Bank,2023-04-06,Account Takeover,High,151530.74,Under Review,True,4,Manual Review
ALRT00128,CUST00016,ACC010000015,West,Axis Bank,2023-11-08,Velocity Check,Low,146531.24,Escalated,False,65,Manual Review
ALRT00129,CUST00008,ACC010000007,South,SBI,2023-02-18,High Amount,Critical,59943.24,Resolved,False,44,ML Model
ALRT00130,CUST00048,ACC010000047,South,HDFC Bank,2024-08-18,Card Cloning,High,60190.72,Blocked,True,49,ML Model
ALRT00131,CUST00007,ACC010000006,South,ICICI Bank,2023-12-02,Card Cloning,High,91134.76,Under Review,False,53,Rule Engine
ALRT00132,CUST00006,ACC010000005,East,Axis Bank,2023-03-05,Velocity Check,Medium,95512.49,False Positive,True,48,Customer Report
ALRT00133,CUST00038,ACC010000037,Central,SBI,2024-07-26,Velocity Check,High,117068.6,False Positive,False,63,Customer Report
ALRT00134,CUST00011,ACC010000010,North,Axis Bank,2023-05-28,Multiple Attempts,Critical,142374.54,Under Review,True,28,Customer Report
ALRT00135,CUST00031,ACC010000030,North,Kotak Bank,2023-02-03,Multiple Attempts,High,184378.62,Resolved,False,15,Rule Engine
ALRT00136,CUST00024,ACC010000023,East,SBI,2024-08-08,Account Takeover,Low,104794.11,Resolved,False,40,Manual Review
ALRT00137,CUST00020,ACC010000019,West,ICICI Bank,2023-10-29,Device Mismatch,Low,158345.14,Under Review,False,7,Manual Review
ALRT00138,CUST00019,ACC010000018,West,ICICI Bank,2023-08-09,Multiple Attempts,Critical,916.11,Blocked,False,9,Rule Engine
ALRT00139,CUST00027,ACC010000026,North,SBI,2024-05-07,Account Takeover,Critical,180107.31,False Positive,False,17,ML Model
ALRT00140,CUST00033,ACC010000032,West,HDFC Bank,2024-10-13,Device Mismatch,Critical,133610.54,Under Review,False,12,Customer Report
ALRT00141,CUST00025,ACC010000024,Central,SBI,2023-08-27,Velocity Check,High,108428.39,False Positive,False,12,ML Model
ALRT00142,CUST00046,ACC010000045,South,Kotak Bank,2023-01-26,Account Takeover,Low,128960.88,Resolved,True,70,Rule Engine
ALRT00143,CUST00037,ACC010000036,East,Kotak Bank,2024-06-18,Card Cloning,Critical,100776.44,Resolved,True,69,ML Model
ALRT00144,CUST00002,ACC010000001,Central,Axis Bank,2023-10-09,Card Cloning,Medium,166023.26,Blocked,False,11,Manual Review
ALRT00145,CUST00026,ACC010000025,North,HDFC Bank,2024-08-26,Unusual Location,Critical,172463.88,Resolved,False,56,ML Model
ALRT00146,CUST00027,ACC010000026,North,SBI,2023-01-25,Phishing,Critical,51806.97,Resolved,True,70,ML Model
ALRT00147,CUST00019,ACC010000018,West,ICICI Bank,2023-05-28,Multiple Attempts,High,153776.79,Under Review,False,53,ML Model
ALRT00148,CUST00004,ACC010000003,Central,ICICI Bank,2024-09-21,Phishing,Medium,5920.65,Resolved,False,50,Rule Engine
ALRT00149,CUST00021,ACC010000020,Central,HDFC Bank,2023-05-26,Velocity Check,High,51957.89,Resolved,True,26,ML Model
ALRT00150,CUST00049,ACC010000048,Central,Axis Bank,2024-09-03,Card Cloning,Critical,101969.94,Blocked,False,15,Manual Review
